class,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
1,0,0.157764756,0.357638899,0,0.139157751,0,0,0,0,0,0,0.202742677,0,0,0,0.119633379,0,0.739673372,0.255865928,0,0.213717646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292065674,0,0,0.037668314,0.097489075,0.133934307
1,0.14466181,0.047594578,0.192665614,0,0.041981204,0.214574311,0.114506341,0.037533623,0,0.303877951,0.222090023,0.17256858,0.458287022,0.137218238,0.118141225,0.036091078,0.03337095,0.110707677,0.317215248,0,0.244081972,0,0.262123972,0.211255704,0,0,0,0,0,0,0,0,0,0,0,0,0.03497099,0,0,0,0,0,0,0,0,0,0,0,0,0.096537967,0,0.096297119,0.155540268,0.024726612,0.035365578,0.111305576,0.341514845
1,0.019551112,0,0.12941308,0,0.174468724,0.068874573,0.049006023,0.030436121,0.229875486,0.038229354,0.190098622,0.046497839,0.040021289,0,0.698549367,0.00731659,0.013530299,0.192638261,0.058809719,0.065110084,0.037033467,0,0.334489041,0.013943662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017732196,0,0,0.05523068,0,0.005978096,0.006794891,0,0,0.004266519,0.049470451,0,0.033795981,0.075209687,0.002436739,0.032126348,0.252826681,0.3549918
1,0,0,0,0,0.255635648,0,0.228731483,0.457106086,0.318524448,0.275591549,0.443634649,0.09163267,0.29576032,0,0,0.10814029,0,0,0.393374054,0,0.064395317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135580988,0,0.047989357,0,0,0.03309856,0.059649876,0.085862563
1,0,0,0,0,0.255712314,0,0.228800081,0.457243174,0.318619974,0.2756742,0.443767697,0.091660151,0.29584902,0,0,0.108172721,0,0,0.393492028,0,0.064414629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133641771,0,0.047302964,0,0,0.033108487,0.059667766,0.085888314
1,0,0,0,0,0.482966755,0,0,0.86360038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141986722,0,0,0,0,0.018061755,0.01439148,0.015618125
1,0,0,0,0,0.441432643,0,0,0,0,0.158630857,0.778426027,0.214378371,0,0,0,0.189748966,0,0.097007664,0.269849533,0,0.075327736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030279893,0,0.032549968,0.035776715,0,0.008859982,0.003379807,0.028527969
1,0,0,0,0,0.483878638,0,0,0.865230933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129313296,0,0,0,0,0.014542459,0.010404949,0.013972184
1,0.049605665,0,0.08509371,0,0.087813667,0,0.078530239,0,0.335366991,0.117947937,0.385859118,0.096477909,0,0,0,0,0,0.028471896,0.053980277,0.728941683,0.147392028,0,0,0.035378276,0,0,0,0,0,0,0,0,0.028370729,0,0,0,0,0,0,0,0,0,0.140132929,0,0,0,0,0,0,0.095147839,0,0.022493361,0.084211576,0.005440659,0.032349139,0.235429553,0.200473591
1,0.066494809,0.032815769,0.477338894,0,0.091660526,0.394522308,0.333346369,0,0.073295989,0,0,0.224914005,0.2835738,0,0.162913312,0,0,0.076331332,0.245608245,0.041520808,0.175347193,0,0.186334717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034230031,0,0,0,0,0.05804301,0.035297778,0,0.101615994,0.112604889,0,0.019236095,0.076237017,0.400313448
1,0,0,0,0,0,0,0.341228613,0,0,0.404609924,0.66182772,0,0,0,0,0,0,0.247431453,0.228833588,0,0.0960669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.390985677,0,0,0,0,0,0,0,0,0,0,0,0.077960801,0,0,0.005914497,0.004310332,0.004547783
1,0,0,0.23966512,0,0.283492171,0.476639822,0.339141447,0,0,0,0.315734194,0.06521485,0.210492229,0,0,0,0,0,0.263823324,0,0.294076231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049367524,0.080058512,0,0.426986849,0,0,0.021385617,0.030159133,0.152077482
1,0,0.16729151,0.186869527,0,0.145422342,0,0,0,0,0,0,0.21498546,0,0,0,0.125019024,0,0.783898565,0.27251865,0,0.227717959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058416779,0,0.290213935,0,0,0.036772343,0.095885016,0.123675121
1,0,0,0,0,0.201820335,0,0.366984996,0,0,0.217575206,0.711783344,0,0.474528466,0,0,0,0,0,0.185946943,0,0.103318156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010772211,0.005768849,0.006210864
1,0,0,0.32964097,0,0.128263722,0.161586984,0,0.113060036,0,0.138276481,0,0.046059722,0,0,0,0.830891352,0,0,0.176786153,0,0.2635737,0,0.128536054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04494103,0,0.055674612,0,0,0.008211553,0.015934022,0.041028814
1,0,0.066504957,0.150760919,0,0.354760989,0,0.213336326,0,0,0.382454995,0,0,0,0,0,0.304986647,0,0,0.144770069,0.168293456,0.181613271,0,0,0.192218223,0,0,0,0,0,0,0,0,0,0,0,0,0.591042736,0,0,0.244444472,0,0,0,0,0,0,0,0,0,0.042921021,0,0.137934105,0.050712634,0,0.036455663,0.056462944,0.077058597
