class,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
-1,0.070344153,0.095714831,0.095914781,0.037979017,0.133267363,0.107181356,0.147172924,0.131124966,0.189923438,0.111216686,0.077591778,0.072033855,0.0950189,0.024833964,0.022655244,0.066808946,0.082194526,0.074948589,0.116947026,0.100799038,0.114145438,0.098116725,0.081446893,0.101479047,0.121928065,0.113310556,0.124654425,0.143799264,0.129306666,0.081015706,0.031136072,0.069653593,0.143618081,0.211999164,0.237010438,0.238019671,0.200536323,0.19859483,0.16905567,0.0998469,0.019815468,0.113709631,0.130330718,0.220384772,0.138655912,0.086564899,0.091395544,0.158439637,0.079193133,0.172184126,0.151052144,0.021345354,0.066175968,0.15786605,0.080477782,0.217559217,0.241675092,0.107054269,0.116811319,0.050814597
-1,0.138572317,0.117351132,0.164304559,0.109944336,0.14372769,0.244200758,0.179315704,0.247958128,0.177294113,0.131597131,0.206266383,0.259468316,0.25548977,0.26109234,0.222831559,0.241418991,0.230601152,0.192879774,0.160719168,0.142877093,0.089472597,0.068186616,0.064763989,0.062242136,0.051354685,0.049159104,0.049918964,0.042828684,0.073246081,0.037048259,0.078483522,0.068558759,0.048392302,0.057192816,0.031534477,0.101765534,0.09994999,0.029943806,0.054731484,0.062344332,0.056567876,0.020344463,0.056214291,0.073318679,0.028355797,0.011026937,0.040084682,0.076132835,0.073551635,0.028194098,0.070783037,0.057756271,0.078805626,0.041448911,0.091380099,0.216408668,0.163481153,0.054312658,0.058698368,0.060767512
-1,0.064245771,0.104682372,0.171705697,0.138531032,0.094859238,0.172791519,0.162076295,0.215325683,0.238416319,0.227508779,0.212918986,0.224119745,0.164103703,0.14280493,0.155052232,0.14202877,0.124942126,0.131563891,0.143365467,0.126266689,0.10973037,0.090878516,0.056323989,0.046503268,0.067525898,0.029715037,0.06202374,0.105874724,0.080127512,0.124680481,0.141372553,0.094082523,0.036406528,0.053053501,0.08191305,0.059358595,0.127776161,0.153421642,0.128163052,0.119714209,0.125878647,0.072366751,0.068477712,0.080217525,0.077268675,0.007663665,0.081725473,0.0611936,0.018740335,0.039273464,0.014979527,0.127871222,0.117825768,0.065759797,0.140268854,0.221613435,0.295795603,0.145718199,0.085962941,0.086353184
-1,0.033391154,0.041882718,0.132544965,0.035707599,0.027187089,0.037977255,0.099683909,0.099215186,0.034681066,0.063221123,0.040333786,0.086109869,0.007416537,0.082645709,0.056344718,0.059463717,0.017444071,0.054118494,0.088767899,0.079257187,0.051362697,0.067781195,0.099261978,0.084120186,0.054160106,0.089445839,0.087557534,0.042577412,0.037780429,0.07097101,0.141578072,0.18639404,0.162944304,0.093258591,0.104189133,0.080006414,0.153853443,0.272557544,0.320049613,0.316673069,0.225782328,0.190687255,0.140594,0.157410866,0.214075308,0.216660909,0.219189756,0.17651331,0.133680876,0.148329949,0.14896676,0.090815165,0.034795483,0.141389219,0.090197779,0.090285352,0.063732772,0.05323666,0.049287391,0.176383432
-1,0.284440273,0.182354994,0.114399717,0.076719841,0.087471293,0.074872983,0.122702583,0.214437785,0.23106472,0.249320101,0.212498129,0.190978825,0.191773962,0.168966242,0.164956458,0.166140094,0.205588575,0.164257868,0.049665898,0.10338754,0.086892486,0.088134765,0.114440566,0.10476949,0.060950749,0.042834926,0.130265848,0.188878884,0.146751157,0.105309506,0.129018478,0.15497218,0.085750312,0.029246029,0.057485401,0.124152277,0.146423417,0.111209249,0.102649453,0.093841482,0.08160524,0.104072673,0.090434332,0.04621831,0.038557973,0.034998596,0.032947968,0.010642529,0.050472486,0.025944424,0.107795744,0.026009942,0.058347038,0.110641746,0.130489117,0.020739123,0.102595896,0.064923817,0.147388738,0.158417979
-1,0.101542866,0.117974706,0.062662384,0.032226118,0.054149198,0.108633282,0.115935831,0.151545099,0.129806164,0.161621,0.145453986,0.195345981,0.271850416,0.318624828,0.346505533,0.296346014,0.254481227,0.22767722,0.168174585,0.108645469,0.041323728,0.077832886,0.111889141,0.053009439,0.037468834,0.103094897,0.095454917,0.067369286,0.065562315,0.107437491,0.134186188,0.129013175,0.093394657,0.062326517,0.039431352,0.080664045,0.115160984,0.136716711,0.139961391,0.121066241,0.106171457,0.107331859,0.033670689,0.064712173,0.063173017,0.068658111,0.054688464,0.058830176,0.055103357,0.043452873,0.068353007,0.035911825,0.014387998,0.038085581,0.014668045,0.117040561,0.077253759,0.034735523,0.066818692,0.099383794
-1,0.100278692,0.221827103,0.266253899,0.232341833,0.210320823,0.167182121,0.062872114,0.103200923,0.114445441,0.166460523,0.077462677,0.026946816,0.019589289,0.129927339,0.167299768,0.143808803,0.122811722,0.095796983,0.041923582,0.079999326,0.137101684,0.169409117,0.158929403,0.091417946,0.086082247,0.108440468,0.09016134,0.086899351,0.037281811,0.040598257,0.124506064,0.152116776,0.074787743,0.047320461,0.074135083,0.129924164,0.165834704,0.125473267,0.168535665,0.200712691,0.175319264,0.085778406,0.081202715,0.08145564,0.061574227,0.033535464,0.08791035,0.111092796,0.094286193,0.075997029,0.114189168,0.142918034,0.22708582,0.116980723,0.070370871,0.161693101,0.111096046,0.163912521,0.042023895,0.147104894
-1,0.208790979,0.161708277,0.215824242,0.066943808,0.185024975,0.114635629,0.112332676,0.057424986,0.102362723,0.171017467,0.154551831,0.160720939,0.129029149,0.167390405,0.220887373,0.147115645,0.079365415,0.034273033,0.175856805,0.225971298,0.17681716,0.118443683,0.14656051,0.191861792,0.158204428,0.16607027,0.178062572,0.123988174,0.06461764,0.02649973,0.035912862,0.019091212,0.031756739,0.128711427,0.116412875,0.033602538,0.065637534,0.146416714,0.167741403,0.105963243,0.051151201,0.100780406,0.099152,0.085110491,0.128868292,0.168592001,0.111897709,0.034274246,0.067403116,0.108196812,0.038724749,0.073243817,0.139738011,0.051103482,0.154694628,0.144537026,0.13053431,0.06851236,0.071257408,0.096263299
-1,0.095080612,0.117280468,0.131485005,0.105646733,0.109564234,0.077878738,0.087291784,0.009729919,0.050652751,0.094968981,0.067578195,0.091296636,0.197277624,0.167933206,0.071280585,0.040476468,0.011217491,0.115001179,0.206621726,0.252817003,0.234535809,0.208516434,0.153118728,0.09500023,0.074310574,0.157722815,0.204438374,0.158634982,0.112086925,0.040587938,0.08683819,0.132816364,0.107771195,0.112543484,0.114696687,0.074143941,0.089472716,0.107638265,0.069652628,0.123155834,0.120482448,0.084632222,0.118620049,0.068986919,0.062689574,0.096230611,0.153803669,0.16646767,0.194759597,0.282814527,0.048145737,0.138962201,0.157974144,0.174521411,0.078588787,0.077383112,0.105794195,0.143680142,0.092828968,0.042349695
-1,0.080642189,0.062398174,0.108715557,0.017955267,0.036520565,0.101973025,0.14118016,0.079808158,0.082158663,0.018487402,0.054002346,0.067222482,0.075145689,0.047906758,0.0095019,0.04655706,0.104754771,0.112991939,0.104254253,0.127290447,0.167444694,0.206987847,0.242123612,0.248442237,0.233859511,0.186317396,0.203342116,0.221614007,0.194565394,0.202505716,0.194134512,0.184548344,0.121584038,0.012017155,0.00947049,0.043340771,0.066779919,0.062432345,0.033278889,0.022993727,0.033678,0.079709839,0.103003908,0.100192798,0.027304447,0.06007413,0.105405157,0.084610769,0.026594819,0.147107136,0.107409172,0.099472389,0.317403903,0.248464931,0.131263276,0.123848394,0.060066153,0.062361019,0.10161338,0.088801224
